,Year,Average number of people per household
0,2019,2.52
1,2018,2.53
2,2017,2.54
3,2016,2.53
4,2015,2.54
5,2014,2.54
6,2013,2.54
7,2012,2.55
8,2011,2.58
9,2010,2.59
10,2009,2.57
11,2008,2.56
12,2007,2.56
13,2006,2.57
14,2005,2.57
15,2004,2.57
16,2003,2.57
17,2002,2.58
18,2001,2.58
19,2000,2.62
20,1999,2.61
21,1998,2.62
22,1997,2.64
23,1996,2.65
24,1995,2.65
25,1994,2.67
26,1993,2.63
27,1992,2.62
28,1991,2.63
29,1990,2.63
30,1989,2.62
31,1988,2.64
32,1987,2.66
33,1986,2.67
34,1985,2.69
35,1984,2.71
36,1983,2.73
37,1982,2.72
38,1981,2.73
39,1980,2.76
40,1979,2.78
41,1978,2.81
42,1977,2.86
43,1976,2.89
44,1975,2.94
45,1974,2.97
46,1973,3.01
47,1972,3.06
48,1971,3.11
49,1970,3.14
50,1960,3.33
