,Month,Number of cases
0,Jan 3,2654779
1,Jan 2,2599789
2,Jan 1,2542065
3,Dec 31,2488780
4,Dec 30,2432888
5,Dec 29,2382865
6,Dec 28,2329730
7,Dec 27,2288345
8,Dec 26,2257844
9,Dec 25,2222153
10,Dec 24,2189428
11,Dec 23,2149551
12,Dec 22,2110314
13,Dec 21,2073511
14,Dec 20,2040147
15,Dec 19,2004219
16,Dec 18,1977167
17,Dec 17,1948660
18,Dec 16,1913277
19,Dec 15,1888116
20,Dec 14,1869666
21,Dec 13,1849403
22,Dec 12,1830956
23,Dec 11,1809455
24,Dec 10,1787783
25,Dec 9,1766819
26,Dec 8,1750241
27,Dec 7,1737960
28,Dec 6,1723242
29,Dec 5,1705971
30,Dec 4,1690432
31,Dec 3,1674134
32,Dec 2,1659256
33,Dec 1,1643086
34,Nov 30,1629657
35,Nov 29,1617327
36,Nov 28,1605172
37,Nov 27,1589301
38,Nov 26,1574562
39,Nov 25,1557007
40,Nov 24,1538794
41,Nov 23,1527495
42,Nov 22,1512045
43,Nov 21,1493383
44,Nov 20,1473508
45,Nov 19,1453256
46,Nov 18,1430341
47,Nov 17,1410732
48,Nov 16,1390681
49,Nov 15,1369318
50,Nov 14,1344536
51,Nov 13,1317496
52,Nov 12,1290195
53,Nov 11,1256725
54,Nov 10,1233775
55,Nov 9,1213363
56,Nov 8,1192013
57,Nov 7,1171441
58,Nov 6,1146484
59,Nov 5,1123197
60,Nov 4,1099059
61,Nov 3,1073882
62,Nov 2,1053864
63,Nov 1,1034914
64,Oct 31,1011660
65,Oct 30,989745
66,Oct 29,965340
67,Oct 28,942275
68,Oct 27,917575
69,Oct 26,894690
70,Oct 25,873800
71,Oct 24,854010
72,Oct 23,830998
73,Oct 22,810467
74,Oct 21,789229
75,Oct 20,762542
76,Oct 19,741212
77,Oct 18,722409
78,Oct 17,705428
79,Oct 16,689257
80,Oct 15,673622
81,Oct 14,654644
82,Oct 13,634920
83,Oct 12,617688
84,Oct 11,603716
85,Oct 10,590844
86,Oct 9,575679
87,Oct 8,561815
88,Oct 7,544275
89,Oct 6,530113
90,Oct 5,515571
91,Oct 4,502978
92,Oct 3,480017
93,Oct 2,467146
94,Oct 1,460178
95,Sep 30,453264
96,Sep 29,446156
97,Sep 28,439013
98,Sep 27,434969
99,Sep 26,429277
100,Sep 25,423236
101,Sep 24,416363
102,Sep 23,409729
103,Sep 22,403551
104,Sep 21,398625
105,Sep 20,394257
106,Sep 19,390358
107,Sep 18,385936
108,Sep 17,381614
109,Sep 16,378219
110,Sep 15,374228
111,Sep 14,371125
112,Sep 13,368504
113,Sep 12,365174
114,Sep 11,361677
115,Sep 10,358138
116,Sep 9,355219
117,Sep 8,352560
118,Sep 7,350100
119,Sep 6,347152
120,Sep 5,344164
121,Sep 4,342351
122,Sep 3,340411
123,Sep 2,338676
124,Sep 1,337168
125,Aug 31,335873
126,Aug 30,334467
127,Aug 29,332752
128,Aug 28,331644
129,Aug 27,330368
130,Aug 26,328846
131,Aug 25,327798
132,Aug 24,326614
133,Aug 23,325761
134,Aug 22,324601
135,Aug 21,323313
136,Aug 20,322280
137,Aug 19,321098
138,Aug 18,320286
139,Aug 17,319197
140,Aug 16,318484
141,Aug 15,317444
