,Month,Construction output index
0,Aug '19,108.9
1,Jul '19,108.7
2,Jun '19,106.7
3,May '19,107.9
4,Apr '19,107.7
5,Mar '19,108.5
6,Feb '19,109.9
7,Jan '19,107.8
8,Dec '18,105.6
9,Nov '18,107.6
10,Oct '18,107.8
11,Sep '18,107.5
12,Aug '18,106.3
13,Jul '18,106.6
14,Jun '18,106.6
15,May '18,105.7
16,Apr '18,104.4
17,Mar '18,103.1
18,Feb '18,105.0
19,Jan '18,106.3
20,Dec '17,109.2
21,Nov '17,106.6
22,Oct '17,104.3
23,Sep '17,106.1
24,Aug '17,106.5
25,Jul '17,105.1
26,Jun '17,105.4
27,May '17,105.5
28,Apr '17,106.0
29,Mar '17,105.9
30,Feb '17,105.0
31,Jan '17,105.7
32,Dec '16,103.6
33,Nov '16,101.0
34,Oct '16,100.5
35,Sep '16,100.7
36,Aug '16,100.3
37,Jul '16,100.4
38,Jun '16,99.3
39,May '16,99.8
40,Apr' 16,100.1
41,Mar ´16,97.5
42,Feb '16,98.6
43,Jan '16,98.2
44,Dec '15,98.4
45,Nov '15,96.3
46,Oct '15,96.5
47,Sep '15,95.2
48,Aug '15,95.1
49,Jul '15,96.6
50,Jun '15,95.8
51,May '15,96.6
52,Apr '15,97.1
53,Mar '15,96.3
54,Feb '15,95.0
55,Jan '15,95.7
