,Month,Number of deaths
0,"Dec 17, 2020",992
1,"Dec 16, 2020",992
2,"Dec 15, 2020",982
3,"Dec 14, 2020",967
4,"Dec 13, 2020",956
5,"Dec 12, 2020",946
6,"Dec 11, 2020",938
7,"Dec 10, 2020",931
8,"Dec 9, 2020",924
9,"Dec 8, 2020",914
10,"Dec 7, 2020",907
11,"Dec 6, 2020",901
12,"Dec 5, 2020",892
13,"Dec 4, 2020",882
14,"Dec 3, 2020",875
15,"Dec 2, 2020",864
16,"Dec 1, 2020",858
17,"Nov 30, 2020",848
18,"Nov 29, 2020",841
19,"Nov 28, 2020",830
20,"Nov 27, 2020",824
21,"Nov 26, 2020",811
22,"Nov 25, 2020",802
23,"Nov 24, 2020",797
24,"Nov 23, 2020",789
25,"Nov 22, 2020",784
26,"Nov 21, 2020",781
27,"Nov 20, 2020",778
28,"Nov 19, 2020",773
29,"Nov 18, 2020",770
30,"Nov 17, 2020",768
31,"Nov 16, 2020",764
32,"Nov 15, 2020",760
33,"Nov 14, 2020",757
34,"Nov 13, 2020",756
35,"Nov 12, 2020",755
36,"Nov 11, 2020",753
37,"Nov 10, 2020",750
38,"Nov 9, 2020",747
39,"Nov 8, 2020",743
40,"Nov 7, 2020",740
41,"Nov 6, 2020",738
42,"Nov 5, 2020",733
43,"Nov 4, 2020",729
44,"Nov 3, 2020",728
45,"Nov 2, 2020",724
46,"Nov 1, 2020",723
47,"Oct 31, 2020",721
48,"Oct 30, 2020",719
49,"Oct 29, 2020",716
50,"Oct 28, 2020",715
51,"Oct 27, 2020",709
52,"Oct 26, 2020",708
53,"Oct 25, 2020",708
54,"Oct 24, 2020",706
55,"Oct 23, 2020",704
56,"Oct 22, 2020",699
57,"Oct 21, 2020",695
58,"Oct 20, 2020",691
59,"Oct 19, 2020",688
60,"Oct 18, 2020",687
61,"Oct 17, 2020",684
62,"Oct 16, 2020",679
63,"Oct 15, 2020",677
64,"Oct 14, 2020",677
65,"Oct 13, 2020",676
66,"Oct 12, 2020",675
67,"Oct 11, 2020",672
68,"Oct 10, 2020",670
69,"Oct 9, 2020",667
70,"Oct 8, 2020",666
71,"Oct 7, 2020",664
72,"Oct 6, 2020",663
73,"Oct 5, 2020",663
74,"Oct 4, 2020",661
75,"Oct 3, 2020",658
76,"Oct 2, 2020",655
77,"Oct 1, 2020",653
78,"Sep 30, 2020",651
79,"Sep 29, 2020",651
80,"Sep 28, 2020",650
81,"Sep 27, 2020",649
82,"Sep 26, 2020",649
83,"Sep 25, 2020",648
84,"Sep 24, 2020",647
85,"Sep 23, 2020",645
86,"Sep 22, 2020",644
87,"Sep 21, 2020",642
88,"Sep 20, 2020",641
89,"Sep 19, 2020",638
90,"Sep 18, 2020",635
91,"Sep 17, 2020",635
92,"Sep 16, 2020",635
93,"Sep 15, 2020",634
94,"Sep 14, 2020",633
95,"Sep 13, 2020",633
96,"Sep 12, 2020",631
97,"Sep 11, 2020",630
98,"Sep 10, 2020",629
99,"Sep 9, 2020",629
100,"Sep 8, 2020",628
101,"Sep 7, 2020",628
102,"Sep 6, 2020",628
103,"Sep 5, 2020",627
104,"Sep 4, 2020",627
105,"Sep 3, 2020",627
106,"Sep 2, 2020",626
107,"Sep 1, 2020",626
108,"Aug 31, 2020",626
109,"Aug 30, 2020",624
110,"Aug 29, 2020",624
111,"Aug 28, 2020",624
112,"Aug 27, 2020",624
