,State,Real GDP in billion chained (2012) U.S. dollars
0,California,2742.92
1,Texas,1713.36
2,New York,1404.85
3,Florida,946.13
4,Illinois,751.38
5,Pennsylvania,700.45
6,Ohio,597.31
7,Washington,555.01
8,Georgia,539.84
9,New Jersey,538.51
10,North Carolina,504.66
11,Massachusetts,504.49
12,Virginia,481.35
13,Michigan,452.64
14,Maryland,367.49
15,Colorado,354.24
16,Indiana,332.61
17,Minnesota,332.32
18,Arizona,324.68
19,Tennessee,315.61
20,Wisconsin,298.69
21,Missouri,280.34
22,Connecticut,242.77
23,Louisiana,229.02
24,Oregon,221.43
25,South Carolina,208.83
26,Alabama,197.74
27,Kentucky,186.24
28,Oklahoma,186.08
29,Iowa,171.84
30,Utah,171.39
31,Kansas,157.06
32,Nevada,148.79
33,District of Columbia,122.93
34,Nebraska,115.89
35,Arkansas,115.57
36,Mississippi,101.01
37,New Mexico,96.09
38,Hawaii,75.66
39,Idaho,75.3
40,New Hampshire,74.4
41,West Virginia,68.94
42,Delaware,62.52
43,Maine,56.97
44,North Dakota,52.09
45,Rhode Island,51.81
46,Alaska,50.89
47,South Dakota,47.09
48,Montana,46.85
49,Wyoming,36.28
50,Vermont,28.52
