,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",83.45
1,Information,72.82
2,Government and government enterprises,61.44
3,Manufacturing,59.03
4,Professional and business services,55.65
5,Retail trade,45.77
6,"Educational services, health care, and social assistance",35.38
7,Wholesale trade,26.47
8,Construction,18.87
9,"Arts, entertainment, recreation, accommodation, and food services",17.69
10,Transportation and warehousing,13.45
11,"Agriculture, forestry, fishing, and hunting",9.65
12,Utilities,3.94
13,"Mining, quarrying, and oil and gas extraction",0.65
