,Quarter,Operating profit in trillion South Korean won
0,Q4 '19,7.16
1,Q3 '19,7.78
2,Q2 '19,6.6
3,Q1 '19,6.23
4,Q4 '18,10.8
5,Q3 '18,17.57
6,Q2 '18,14.87
7,Q1 '18,15.64
8,Q4 '17,15.15
9,Q3 '17,14.53
10,Q2 '17,14.07
11,Q1 '17,9.9
12,Q4 '16,9.22
13,Q3 '16,5.2
14,Q2 '16,8.14
15,Q1 '16,6.68
16,Q4 '15,6.14
17,Q3 '15,7.39
18,Q2 '15,6.9
19,Q1 '15,5.98
20,Q4 '14,5.29
21,Q3 '14,4.06
22,Q2 '14,7.2
23,Q1 '14,8.5
24,Q4 '13,8.3
25,Q3 '13,10.2
26,Q2 '13,9.5
27,Q1 '13,8.8
28,Q4 '12,8.8
29,Q3 '12,8.1
30,Q2 '12,6.5
31,Q1 '12,5.7
32,Q4 '11,4.7
33,Q3 '11,4.3
34,Q2 '11,3.8
35,Q1 '11,2.8
36,Q4 '10,3.0
37,Q3 '10,4.9
38,Q2 '10,5.0
39,Q1 '10,4.4
40,Q4 '09,3.4
41,Q3 '09,4.2
42,Q2 '09,2.7
43,Q1 '09,0.6
