,Quarter,Revenue in million U.S. dollars
0,Q3 '07,1889
1,Q4 '07,2181
2,Q1 '08,2192
3,Q2 '08,2196
4,Q3 '08,2118
5,Q4 '08,2036
6,Q1 '09,2021
7,Q2 '09,2098
8,Q3 '09,2238
9,Q4 '09,2371
10,Q1 '10,2196
11,Q2 '10,2215
12,Q3 '10,2249
13,Q4 '10,2495
14,Q1 '11,2546
15,Q2 '11,2760
16,Q3 '11,2966
17,Q4 '11,3380
18,Q1 '12,3277
19,Q2 '12,3398
20,Q3 '12,3404
21,Q4 '12,3992
22,Q1 '13,3748
23,Q2 '13,3877
24,Q3 '13,3892
25,Q4 '13,4530
26,Q1 '14,4262
27,Q2 '14,4366
28,Q3 '14,4353
29,Q4 '14,4921
30,Q1 '15,4448
31,Q2 '15*,4379
