,State,"Number of cases per 10,000 people"
0,Rockland,870.0
1,Richmond (Staten Island),773.8
2,Westchester,752.0
3,Suffolk,691.8
4,Nassau,685.4
5,Orange,638.0
6,Bronx,602.4
7,Oneida,578.0
8,Queens,565.8
9,Chemung,564.1
10,Cortland,538.4
11,New York City total,528.2
12,Putnam,522.0
13,Genesee,505.3
14,Kings (Brooklyn),490.5
15,Monroe,488.3
16,Cayuga,477.2
17,Onondaga,476.6
18,Erie,472.3
19,Broome,452.5
20,Dutchess,443.3
21,Niagara,440.0
22,Herkimer,432.0
23,Sullivan,430.3
24,Allegany,421.1
25,Schenectady,418.5
26,Albany,410.0
27,New York (Manhattan),398.5
28,Steuben,382.6
29,Wyoming,382.4
30,Lewis,378.5
31,Tioga,369.0
32,Ulster,364.4
33,Orleans,360.5
34,Cattaraugus,351.2
35,Madison,347.2
36,Oswego,340.2
37,Ontario,332.4
38,Otsego,332.2
39,Livingston,323.0
40,Chautauqua,320.2
41,Schuyler,318.8
42,Greene,314.0
43,Wayne,313.9
44,Rensselaer,311.0
45,Montgomery,306.5
46,Columbia,295.1
47,Seneca,288.6
48,Chenango,278.9
49,Saratoga,276.3
50,Hamilton,270.6
51,Fulton,262.9
52,Yates,260.9
53,St. Lawrence,219.8
54,Jefferson,213.1
55,Warren,209.4
56,Tompkins,209.4
57,Schoharie,201.9
58,Franklin,186.3
59,Essex,176.9
60,Delaware,170.7
61,Clinton,162.6
62,Washington,153.6
