,sector,Companies
0,Information technology,106193
1,Architecture,47582
2,Telecommunications,29100
3,Electrical electronic manufacturing,17704
4,Printing,12576
5,Entertainment film production,12413
6,"Marketing, advertising",11896
7,Semiconductors,8615
8,Photography,4362
9,Publishing,3117
10,Financial services,2968
11,Wireless,2346
12,Computer software,2046
13,Graphic design,1914
14,Internet,1189
15,Broadcast media,1038
16,Design,759
17,Online publishing,577
18,Media production,413
19,Music,412
20,Computer networking,374
21,"Aviation, aerospace",371
22,Motion pictures film,338
23,Computer hardware,264
24,Business supplies equipment,226
25,Consumer electronics,181
26,Information services,167
27,Medical equipment,143
28,Computer networking security,99
29,E-learning,78
30,Consumer services,68
31,Defense space,57
32,"Newspapers, journalism",52
33,Computer games,33
34,Animation,15
35,Nanotechnology,9
