,Year,GDP per capita in U.S. dollars
0,2025*,26618.34
1,2024*,25794.62
2,2023*,25060.39
3,2022*,24382.65
4,2021*,23710.38
5,2020*,22877.59
6,2019,25997.58
7,2018,25419.5
8,2017,24427.58
9,2016,22641.28
10,2015,22659.37
11,2014,25398.32
12,2013,25965.31
13,2012,25434.45
14,2011,24080.43
15,2010,20827.72
16,2009,19465.29
17,2008,23236.06
18,2007,20908.34
19,2006,19267.57
20,2005,17966.22
21,2004,15963.98
22,2003,14486.06
23,2002,13501.55
24,2001,13894.34
25,2000,14214.58
26,1999,12210.22
27,1998,11565.97
28,1997,12422.12
29,1996,12298.65
30,1995,12143.09
31,1994,11777.07
32,1993,11290.27
33,1992,10536.82
34,1991,10252.37
35,1990,10179.63
36,1989,9668.04
37,1988,9602.79
38,1987,8049.36
39,1986,7695.81
40,1985,10182.37
