,Metropolitan Areas,Number of residents in thousands
0,"New York-Newark-Jersey City, NY-NJ-PA",19979.48
1,"Los Angeles-Long Beach-Anaheim, CA",13291.49
2,"Chicago-Naperville-Elgin, IL-IN-WI",9498.72
3,"Dallas-Fort Worth-Arlington, TX",7539.71
4,"Houston-The Woodlands-Sugar Land, TX",6997.38
5,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6249.95
6,"Miami-Fort Lauderdale-West Palm Beach, FL",6198.78
7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6096.37
8,"Atlanta-Sandy Springs-Roswell, GA",5949.95
9,"Boston-Cambridge-Newton, MA-NH",4875.39
10,"Phoenix-Mesa-Scottsdale, AZ",4857.96
11,"San Francisco-Oakland-Hayward, CA",4729.48
12,"Riverside-San Bernardino-Ontario, CA",4622.36
13,"Detroit-Warren-Dearborn, MI",4326.44
14,"Seattle-Tacoma-Bellevue, WA",3939.36
15,"Minneapolis-St. Paul-Bloomington, MN-WI",3629.19
16,"San Diego-Carlsbad, CA",3343.36
17,"Tampa-St. Petersburg-Clearwater, FL",3142.66
18,"Denver-Aurora-Lakewood, CO",2932.42
19,"St. Louis, MO-IL",2805.47
20,"Baltimore-Columbia-Towson, MD",2802.79
21,"Orlando-Kissimmee-Sanford, FL",2572.96
22,"Charlotte-Concord-Gastonia, NC-SC",2569.21
23,"San Antonio-New Braunfels, TX",2518.04
24,"Portland-Vancouver-Hillsboro, OR-WA",2478.81
25,"Sacramento--Roseville--Arden-Arcade, CA",2345.21
26,"Pittsburgh, PA",2324.74
27,"Las Vegas-Henderson-Paradise, NV",2231.65
28,"Cincinnati, OH-KY-IN",2190.21
29,"Austin-Round Rock, TX",2168.32
30,"Kansas City, MO-KS",2143.65
31,"Columbus, OH",2106.54
32,"Cleveland-Elyria, OH",2057.01
33,"Indianapolis-Carmel-Anderson, IN",2048.7
34,"San Jose-Sunnyvale-Santa Clara, CA",1999.11
35,"Nashville-Davidson--Murfreesboro--Franklin, TN",1930.96
36,"Virginia Beach-Norfolk-Newport News, VA-NC",1728.73
37,"Providence-Warwick, RI-MA",1621.34
38,"Milwaukee-Waukesha-West Allis, WI",1576.11
39,"Jacksonville, FL",1534.7
40,"Oklahoma City, OK",1396.45
41,"Raleigh, NC",1362.54
42,"Memphis, TN-MS-AR",1350.62
43,"Richmond, VA",1306.17
44,"Louisville/Jefferson County, KY-IN",1297.3
45,"New Orleans-Metairie, LA",1270.4
46,"Salt Lake City, UT",1222.54
47,"Hartford-West Hartford-East Hartford, CT",1206.3
48,"Birmingham-Hoover, AL",1151.8
49,"Buffalo-Cheektowaga-Niagara Falls, NY",1130.15
