,hotel,Expected Wi-Fi speed in Mbps*
0,Plaza Hotel & Casino,38.7
1,The LINQ Hotel & Casino,29.3
2,SLS Las Vegas Hotel & Casino,24.7
3,Grandview at Las Vegas,24.3
4,Tahiti Village,23.8
5,Four Seasons Hotel Las Vegas,22.1
6,Golden Nugget Hotel,16.1
7,Treasure Island - TI Hotel & Casino,15.6
8,Wynn Las Vegas,11.5
9,Luxor Las Vegas,11.2
10,Trump International Hotel Las Vegas,9.6
11,The Carriage House,9.3
12,Encore At Wynn Las Vegas,8.0
13,ARIA Resort & Casino,8.0
14,Hilton Grand Vacations Suites on the Las Vegas Strip,8.0
