,Quarter,Number of licensed vehicles
0,Q3 '19,592
1,Q2 '19,593
2,Q1 '19,598
3,Q4 '18,610
4,Q3 '18,608
5,Q2 '18,616
6,Q1 '18,609
7,Q4 '17,626
8,Q3 '17,627
9,Q2 '17,632
10,Q1 '17,634
11,Q4 '16,631
12,Q3 '16,631
13,Q2 '16,630
14,Q1 '16,623
15,Q4 '15,598
16,Q3 '15,618
17,Q2 '15,620
18,Q1 '15,581
19,Q4 '14,555
20,Q3 '14,582
21,Q2 '14,569
22,Q1 '14,584
23,Q4 '13,591
24,Q3 '13,581
25,Q2 '13,563
26,Q1 '13,535
27,Q4 '12,494
28,Q3 '12,443
29,Q2 '12,371
30,Q1 '12,224
31,Q4 '11,216
32,Q3 '11,214
33,Q2 '11,216
34,Q1 '11,225
35,Q4 '10,221
36,Q3 '10,214
37,Q2 '10,217
38,Q1 '10,222
