,Country,Number of hotel rooms
0,Italy,1086910
1,Germany,963339
2,Spain,924174
3,United Kingdom*,874285
4,France,660017
5,Turkey,445249
6,Greece,409873
7,Austria,291046
8,Poland,162512
9,Portugal,153971
10,Switzerland*,140331
11,Czech Republic,137318
12,Netherlands,124049
13,Bulgaria,123420
14,Romania,114389
15,Norway,87578
16,Croatia,79984
17,Hungary,73736
18,Ireland *,64643
19,Finland,59104
20,Belgium,58968
21,Denmark,46653
22,Cyprus,41805
23,Slovakia,40088
24,Slovenia,22908
25,Malta,18785
26,Estonia,16208
27,Iceland,14517
28,Lithuania,13965
29,Latvia,13045
30,Sweden,12948
31,Macedonia,9335
32,Luxembourg,7535
33,Liechtenstein,707
