,category 5 hurricane,Storm damage in 2017 billion U.S. dollars
0,Katrina (2005),170.0
1,Harvey (2017),131.3
2,Maria (2017),94.5
3,Sandy (2012),74.1
4,Irma (2017),52.5
5,Andrew (1992),50.5
6,Ike (2008),36.9
7,Ivan (2004),28.7
8,Wilma (2005),25.8
9,Michael (2018),25.5
10,Rita (2005),25.2
11,Florence (2018),24.5
12,Charley (2004),22.4
13,Hugo (1989),19.3
14,Irene (2011),15.8
15,Frances (2004),13.7
16,Agnes (1972),13.0
17,Allison (2001),12.6
18,Betsy (1965),11.6
19,Matthew (2016),10.9
20,Jeanne (2004),10.5
21,Floyd (1999),10.2
22,Camille (1969),10.0
23,Georges (1998),9.6
24,Fran (1996),8.4
25,Diane (1955),8.1
26,Opal (1995),8.1
27,Alicia (1983),7.9
28,Isabel (2003),7.8
29,Gustav (2008),7.4
30,Celia (1970),6.2
31,Frederick (1979),6.1
32,Iniki (1992),5.8
33,Long Island Express (1938),5.6
34,Imelda (2019),5.1
35,Great Atlantic Hurricane (1944),5.1
36,Carol (1954),4.4
37,Juan (1985),3.7
38,Marilyn (1995),3.6
39,Donna (1960),3.4
40,Dennis (2005),3.4
41,Elena (1985),3.2
42,Isaac (2012),3.2
