,Year,Inflation rate compared to previous year
0,2024*,2.09%
1,2023*,2.09%
2,2022*,2.12%
3,2021*,2.09%
4,2020*,2.23%
5,2019*,-1.05%
6,2018,2.48%
7,2017,-0.85%
8,2016,2.03%
9,2015,1.27%
10,2014,2.2%
11,2013,3.52%
12,2012,2.88%
13,2011,3.76%
14,2010,3.78%
15,2009,4.18%
16,2008,6.08%
17,2007,5.06%
18,2006,1.9%
19,2005,0.55%
20,2004,0.27%
21,2003,0.55%
22,2002,0.14%
23,2001,-1.22%
24,2000,-1.08%
25,1999,-2.11%
26,1998,-0.39%
27,1997,-0.26%
28,1996,0.26%
29,1995,5.25%
30,1994,1.26%
31,1993,1.28%
32,1992,-0.98%
33,1991,3.79%
34,1990,-1.01%
35,1989,1.17%
36,1988,-0.35%
37,1987,-2.39%
38,1986,-3.12%
39,1985,-2.31%
40,1984,-0.68%
