,Year,GDP per capita in U.S. dollars
0,2024*,25936.96
1,2023*,24437.92
2,2022*,23066.81
3,2021*,21708.62
4,2020*,20355.0
5,2019*,19266.79
6,2018,18994.38
7,2017,16845.33
8,2016,14988.57
9,2015,14299.1
10,2014,16571.43
11,2013,15695.74
12,2012,14354.29
13,2011,14386.61
14,2010,12010.68
15,2009,11866.63
16,2008,15047.25
17,2007,12313.17
18,2006,9246.51
19,2005,7880.35
20,2004,6706.03
21,2003,5505.59
22,2002,4146.11
23,2001,3530.2
24,2000,3297.45
25,1999,3113.64
26,1998,3166.96
27,1997,2830.75
28,1996,2328.22
29,1995,1845.67
