,"City, country",Population in thousands
0,"Tokyo, Japan",37468
1,"Delhi, India",28514
2,"Shanghai, China",25582
3,"São Paulo, Brazil",21650
4,"Mexico City, Mexico",21581
5,"Dhaka, Bangladesh",19578
6,"Cairo, Egypt",20076
7,"Beijing, China",19618
8,"Mumbai, India",19980
9,"Osaka, Japan",19281
10,"New York-Newark, U.S.",18819
11,"Karachi, Pakistan",15400
12,"Buenos Aires, Argentina",14967
13,"Chongqing, China",14838
14,"Istanbul, Turkey",14751
15,"Calcutta, India",14681
16,"Manila, Philippines",13482
17,"Lagos, Nigeria",13463
18,"Rio de Janeiro, Brazil",13293
19,"Tianjin, China",13215
20,"Kinshasa, DR Congo",13171
21,"Guangzhou, China",12638
22,"Los Angeles-Long Beach-Santa Ana, U.S.",12458
23,"Moscow, Russia",12410
24,"Shenzhen, China",11908
