,Year,GDP per capita in U.S. dollars
0,2025*,64084.57
1,2024*,62045.17
2,2023*,59982.46
3,2022*,57759.98
4,2021*,54820.3
5,2020*,48634.34
6,2019,50380.28
7,2018,51292.7
8,2017,47440.2
9,2016,45239.79
10,2015,44267.8
11,2014,51814.42
12,2013,50748.09
13,2012,48615.82
14,2011,51441.11
15,2010,46958.52
16,2009,48095.4
17,2008,51953.56
18,2007,46922.42
19,2006,40672.61
20,2005,38477.27
21,2004,36871.58
22,2003,32290.95
23,2002,26482.84
24,2001,24554.25
25,2000,24631.58
26,1999,27209.31
27,1998,27399.09
28,1997,26737.48
29,1996,29820.61
30,1995,30350.55
31,1994,25725.57
32,1993,24152.67
33,1992,25068.41
34,1991,22621.89
35,1990,21827.45
36,1989,17547.82
37,1988,17632.82
38,1987,16093.02
39,1986,12886.1
40,1985,9090.8
