,Country,Difference between actual and average estimate
0,South Africa,-9%
1,Hong Kong,-9%
2,Peru,-13%
3,Netherlands,-13%
4,South Korea,-14%
5,France,-15%
6,Japan,-16%
7,Canada,-16%
8,Mexico,-17%
9,United Kingdom,-17%
10,Chile,-17%
11,Belgium,-18%
12,Australia,-18%
13,Singapore,-19%
14,India,-19%
15,United States,-19%
16,Spain,-20%
17,Sweden,-20%
18,Philippines,-21%
19,Brazil,-21%
20,Colombia,-22%
21,Argentina,-23%
22,Saudi Arabia,-23%
23,Germany,-24%
24,Italy,-24%
25,Malaysia,-26%
26,Turkey,-28%
27,Poland,-30%
28,China,-30%
29,Hungary,-32%
30,Russia,-42%
31,Romania,-44%
