,metropolitan area,Unemployment rate
0,"Las Vegas-Henderson-Paradise, NV",11.5%
1,"New Orleans-Metairie, LA",9.8%
2,"Los Angeles-Long Beach-Anaheim, CA",9.6%
3,"New York-Newark-Jersey City, NY-NJ-PA",9.5%
4,"Houston-The Woodlands-Sugar Land, TX",8.9%
5,"Detroit-Warren-Dearborn, MI",8.9%
6,"Riverside-San Bernardino-Ontario, CA",7.9%
7,"Orlando-Kissimmee-Sanford, FL",7.7%
8,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",7.5%
9,"San Antonio-New Braunfels, TX",7.3%
10,"Phoenix-Mesa-Scottsdale, AZ",7.2%
11,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7.1%
12,"Dallas-Fort Worth-Arlington, TX",7.1%
13,"Miami-Fort Lauderdale-West Palm Beach, FL",7%
14,"Chicago-Naperville-Elgin, IL-IN-WI",7%
15,"Providence-Warwick, RI-MA Metropolitan NECTA",6.8%
16,"Sacramento--Roseville--Arden-Arcade, CA",6.7%
17,"Memphis, TN-MS-AR",6.7%
18,"San Diego-Carlsbad, CA",6.6%
19,"Denver-Aurora-Lakewood, CO",6.4%
20,"San Francisco-Oakland-Hayward, CA",6.1%
21,"Pittsburgh, PA",6.1%
22,"Baltimore-Columbia-Towson, MD",6.1%
23,"Austin-Round Rock, TX",5.9%
24,"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",5.9%
25,"Buffalo-Cheektowaga-Niagara Falls, NY",5.9%
26,"Charlotte-Concord-Gastonia, NC-SC",5.9%
27,"Portland-Vancouver-Hillsboro, OR-WA",5.9%
28,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5.8%
29,"Cleveland-Elyria, OH",5.8%
30,"Tampa-St. Petersburg-Clearwater, FL",5.7%
31,"Rochester, NY",5.6%
32,"Atlanta-Sandy Springs-Roswell, GA",5.6%
33,"Oklahoma City, OK",5.5%
34,"Milwaukee-Waukesha-West Allis, WI",5.4%
35,"Raleigh, NC",5.3%
36,"Virginia Beach-Norfolk-Newport News, VA-NC",5.2%
37,"Jacksonville, FL",5.2%
38,"Seattle-Tacoma-Bellevue, WA",5.1%
39,"San Jose-Sunnyvale-Santa Clara, CA",5.1%
40,"Richmond, VA",5%
41,"Louisville/Jefferson County, KY-IN",5%
42,"Indianapolis-Carmel-Anderson, IN",4.9%
43,"Columbus, OH",4.9%
44,"Cincinnati, OH-KY-IN",4.8%
45,"Kansas City, MO-KS",4.6%
46,"St. Louis, MO-IL (1)",4.3%
47,"Salt Lake City, UT",4.2%
48,"Nashville-Davidson--Murfreesboro--Franklin, TN",4.2%
49,"Minneapolis-St. Paul-Bloomington, MN-WI",3.9%
50,"Birmingham-Hoover, AL",3.8%
