,Advertisement Type,Number of respondents in thousands
0,Bus,23851
1,Bus stops,20635
2,Billboards,19848
3,Urban signs/bright urban signs,13643
4,Outdoor/street clocks,13396
5,Single-pole billboard,12034
6,Newsstands,9355
7,Containers,8110
8,Urban furniture,7940
9,Morris columns,7936
10,Shopping centers,7884
11,Building banner,7414
12,Neon signs on buildings,7108
13,Advertising flag,6501
14,Screens in lottery/gambling establishments,5345
15,Subway,3413
16,Subway screens,2756
17,Trains,1953
18,Bicycles,1594
19,Airports,1181
