,Month,Number of switches in thousands
0,Dec '19,72.51
1,Nov '19,90.09
2,Oct '19,99.51
3,Sep '19,78.94
4,Aug '19,66.95
5,Jul '19,81.86
6,Jun '19,83.46
7,May '19,84.91
8,Apr '19,78.61
9,Mar '19,92.99
10,Feb '19,100.35
11,Jan '19,71.85
12,Dec '18,61.89
13,Nov '18,88.5
14,Oct '18,85.52
15,Sep '18,62.1
16,Aug '18,62.29
17,Jul '18,69.24
18,Jun '18,79.52
19,May '18,77.98
20,Apr '18,68.84
21,Mar '18,102.27
22,Feb '18,102.99
23,Jan '18,68.21
24,Dec '17,64.45
25,Nov '17,110.77
26,Oct '17,72.47
27,Sep '17,60.3
28,Aug '17,73.48
29,Jul '17,84.04
30,Jun '17,77.09
31,May '17,72.9
32,Apr '17,68.16
33,Mar '17,95.99
34,Feb '17,90.4
35,Jan '17,61.91
36,Dec '16,60.06
37,Nov '16,77.98
38,Oct '16,70.35
39,Sep '16,71.16
40,Aug '16,77.61
41,Jul '16,85.59
42,Jun '16,84.59
43,May '16,79.23
44,Apr '16,94.18
45,Mar '16,124.62
46,Feb '16,110.34
47,Jan '16,74.72
