,Year,GDP in billion international dollars
0,2021*,12399.0
1,2020*,11321.28
2,2019,11043.18
3,2018,10413.61
4,2017,9579.69
5,2016,8783.89
6,2015,8030.82
7,2014,7359.58
8,2013,6727.34
9,2012,6214.49
10,2011,5782.04
11,2010,5311.15
12,2009,4761.46
13,2008,4356.04
14,2007,4112.91
15,2006,3647.77
16,2005,3240.42
17,2004,2875.56
18,2003,2596.38
19,2002,2361.45
20,2001,2237.26
21,2000,2086.1
22,1999,1962.48
23,1998,1783.6
24,1997,1661.02
25,1996,1569.31
26,1995,1432.91
27,1994,1304.66
28,1993,1197.64
29,1992,1116.86
30,1991,1035.22
31,1990,990.88
32,1989,905.05
33,1988,822.02
34,1987,724.29
35,1986,679.85
36,1985,636.05
37,1984,585.77
