,Country,Average player age in years
0,Costa Rica,29.6
1,Mexico,29.4
2,Argentina,29.3
3,Egypt,29.0
4,Panama,28.9
5,Russia,28.8
6,Saudi Arabia,28.7
7,Brazil,28.6
8,Iceland,28.6
9,Japan,28.5
10,Spain,28.4
11,Portugal,28.3
12,Poland,28.2
13,Sweden,28.1
14,Uruguay,28.1
15,Colombia,28.1
16,Australia,28.1
17,Croatia,27.9
18,South Korea,27.8
19,Belgium,27.6
20,Peru,27.4
21,Senegal,27.2
22,Switzerland,27.2
23,Morocco,27.2
24,Iran,27.2
25,Germany,27.1
26,Denmark,27.1
27,Serbia,26.8
28,Tunisia,26.5
29,France,26.0
30,England,26.0
31,Nigeria,25.9
