,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",107.53
1,Professional and business services,74.02
2,Government and government enterprises,60.17
3,Manufacturing,55.26
4,Information,52.3
5,"Educational services, health care, and social assistance",42.52
6,Wholesale trade,40.69
7,Retail trade,32.25
8,Transportation and warehousing,21.25
9,Construction,20.11
10,"Arts, entertainment, recreation, accommodation, and food services",16.93
11,Utilities,9.64
12,"Agriculture, forestry, fishing, and hunting",4.92
13,"Mining, quarrying, and oil and gas extraction",1.46
