,Response,Share of population
0,Spain,11%
1,France,11%
2,Italy,10.2%
3,Netherlands,9.6%
4,Finland,8.2%
5,Croatia,7.9%
6,Czechia,7.9%
7,Ireland,7.7%
8,United Kingdom,7.1%
9,Germany,7.1%
10,Belgium,7%
11,Estonia,6.6%
12,Austria,6.4%
13,Denmark,6.4%
14,Slovenia,5.9%
15,Norway,5.4%
16,Portugal,5.1%
17,Luxembourg,4.9%
18,Slovakia,4.3%
19,Bulgaria,4.2%
20,Latvia,4.2%
21,Sweden,3.9%
22,Poland,3.8%
23,Romania,3.2%
24,Greece,2.8%
25,Lithuania,2.7%
26,Cyprus,2.2%
27,Hungary,1.5%
28,Turkey,1.1%
29,Malta,0.9%
