,Retail location,Annual rent in U.S. dollars per square foot
0,"Causeway Bay, main street shops (Hong Kong)",2745
1,"Upper 5th Avenue, 49th-60th Sts (New York)",2250
2,New Bond Street (London),1714
3,Avenue des Champs-Elysees (Paris),1478
4,Via Montenapoleone (Milan),1447
5,Ginza (Tokyo),1251
6,Pitt Street Mall (Sydney),1076
7,Bahnhofstrasse (Zurich),866
8,Myeongdong (Seoul),862
9,Kohlmarkt (Vienna),513
10,Wangfujing (Beijing),471
11,Kaufinger/Neuhauser (Munich),469
12,Grafton Street (Dublin),401
13,Portal de L'Angel (Barcelona),361
14,Ermou (Athens),361
15,Orchard Road (Singapore),312
16,Kalverstraat (Amsterdam),301
17,Na Prikope street (Prague),298
18,Stoleshnikov (Moscow),288
19,Khan Market (New Delhi),243
