,Year,Inflation rate compared to previous year
0,2025*,3.25%
1,2024*,3.25%
2,2023*,3.26%
3,2022*,3.08%
4,2021*,2.91%
5,2020*,2.73%
6,2019,3.73%
7,2018,3.67%
8,2017,3.45%
9,2016,8.74%
10,2015,9.03%
11,2014,6.33%
12,2013,6.2%
13,2012,5.4%
14,2011,6.64%
15,2010,5.04%
16,2009,4.89%
17,2008,5.68%
18,2007,3.64%
19,2006,4.18%
20,2005,6.87%
21,2004,6.6%
22,2003,14.71%
23,2002,8.45%
24,2001,6.84%
25,2000,7.04%
26,1999,4.86%
27,1998,3.2%
28,1997,6.93%
29,1996,15.76%
30,1995,66.01%
31,1994,"2,075.83%"
32,1993,"1,927.38%"
33,1992,951.96%
34,1991,432.77%
35,1990,"2,947.73%"
36,1989,"1,430.72%"
37,1988,629.12%
38,1987,228.33%
39,1986,147.14%
40,1985,226.03%
