,Country,Male,Female
0,United Kingdom (2005),25,40
1,Germany (2001-02),26,36
2,Canada (2010),25,37
3,Netherlands (2005-06),22,37
4,Australia (2006),22,36
5,Ireland (2005),16,40
6,Spain (2009-10),20,36
7,Japan (2011),16,37
8,Belgium (2005),22,31
9,Finland (2009-10),23,29
10,Denmark (2001),22,30
11,Italy (2008),18,33
12,New Zealand (2009-10),17,30
13,Estonia (2009-2010),20,27
14,Poland (2003-04),18,28
15,United States (2014),18,28
16,Hungary (1999-2000),17,26
17,France (2009),18,25
18,Austria (2008-09),16,26
19,China (2008),15,25
20,Norway (2010),16,23
21,Slovenia (2000-01),15,20
22,Mexico (2009),13,20
23,Portugal (1999),10,19
24,Sweden (2010),13,16
25,Turkey (2006),14,14
26,Korea (2009),6,20
27,India (1999),14,9
28,South Africa (2010),8,11
