,Channel Name,Market share
0,svt1,32.9%
1,TV4,22.2%
2,Kanal5,6%
3,svt2,5.3%
4,TV3,3.2%
5,Sjuan,3.2%
6,TV8,2.8%
7,TV12,2.2%
8,TV6,2.2%
9,svtB,1.7%
10,Kanal 9,1.5%
11,Kanal 11,1.4%
12,Discovery,1.3%
13,TV10,1.2%
14,Kunskapskanal,1.1%
15,TLC,0.8%
16,Investigation Discovery,0.5%
17,National Geographic,0.4%
18,TV4 Film,0.4%
19,Eurosport,0.4%
20,TV4 Fakta,0.4%
21,TV4 Guld,0.4%
22,svt24,0.3%
23,History,0.3%
24,Paramount Network,0.3%
25,FOX,0.3%
26,Sportkanalen,0.3%
27,Nickelodeon,0.2%
28,Boomerang,0.2%
29,Eurosport 2 Sweden,0.1%
30,Cartoon Network Sweden,0.1%
31,Disney Channel,0.1%
32,Cartoon Network Nordic,0%
