,Country,CT scanners per million population
0,Australia,64.35
1,Iceland,44.33
2,United States,42.64
3,Denmark,39.83
4,Switzerland,38.93
5,South Korea,38.18
6,Greece,36.66
7,Latvia,36.23
8,Germany,35.17
9,Italy,34.29
10,Austria,29.07
11,Chile,24.27
12,Finland,24.2
13,Ireland,19.23
14,Spain,18.26
15,New Zealand,17.9
16,Estonia,17.48
17,Poland,17.33
18,France,17.33
19,Slovak Rep.,17.31
20,Luxembourg,16.77
21,Czech Rep.,15.52
22,Canada,15.28
23,Slovenia,15.01
24,Turkey,14.53
25,Netherlands,13.04
26,Israel,9.65
27,Hungary,8.86
28,Mexico,6.12
