,U.S. states,Number of homicide victims
0,California,232
1,Texas,221
2,Georgia,96
3,Pennsylvania,82
4,Ohio,78
5,New York,74
6,Virginia,73
7,Tennessee,69
8,Arizona,68
9,North Carolina,65
10,Louisiana,63
11,Michigan,58
12,South Carolina,52
13,Missouri,51
14,Illinois,49
15,Washington,42
16,New Jersey,41
17,Kentucky,40
18,Maryland,39
19,Indiana,38
20,Arkansas,34
21,Colorado,32
22,Nevada,30
23,Wisconsin,30
24,Oklahoma,28
25,Massachusetts,23
26,Mississippi,22
27,Oregon,21
28,Minnesota,21
29,Kansas,16
30,West Virginia,15
31,New Mexico,15
32,Connecticut,15
33,Alaska,14
34,Idaho,13
35,Iowa,12
36,Utah,12
37,Montana,10
38,Delaware,7
39,Nebraska,7
40,Hawaii,6
41,Vermont,6
42,South Dakota,6
43,Rhode Island,5
44,Maine,5
45,North Dakoda,4
46,New Hampshire,4
47,Wyoming,4
