,Country,Corruption perception index score
0,Uruguay,71
1,Chile,67
2,Bahamas,64
3,Barbados,62
4,Saint Vincent & the Grenadines,59
5,Costa Rica,56
6,Dominica,55
7,Saint Lucia,55
8,Grenada,53
9,Cuba,48
10,Argentina,45
11,Suriname,44
12,Jamaica,43
13,Guyana,40
14,Trinidad & Tobago,40
15,Regional Median*,39
16,Ecuador,38
17,Colombia,37
18,Panama,36
19,Peru,36
20,Brazil,35
21,El Salvador,34
22,Bolivia,31
23,Mexico,29
24,Dominican Republic,28
25,Paraguay,28
26,Guatemala,26
27,Honduras,26
28,Nicaragua,22
29,Haiti,18
30,Venezuela,16
