,province of China,Average annual salary in yuan
0,Beijing,166803
1,Shanghai,149377
2,Tibet,118118
3,Tianjin,108002
4,Zhejiang,99654
5,Guangdong,98889
6,Jiangsu,96527
7,Qinghai,90929
8,Average,90501
9,Yunnan,86585
10,Chongqing,86559
11,Ningxia,83947
12,Sichuan,83367
13,Guizhou,83298
14,Hainan,82227
15,Fujian,81814
16,Shandong,81446
17,Inner Mongolia,80563
18,Xinjiang,79421
19,Hubei,79303
20,Anhui,79037
21,Shaanxi,78361
22,Guangxi,76479
23,Hunan,74316
24,Jilin,73813
25,Jiangxi,73725
26,Gansu,73607
27,Hebei,72956
28,Liaoning,72891
29,Shanxi,69551
30,Heilongjiang,68416
31,Henan,67268
