,Month,Number of players in thousands
0,Jan '20,614.83
1,Dec '19,685.17
2,Nov '19,708.52
3,Oct '19,741.52
4,Sept '19,753.37
5,Aug '19,826.69
6,Jul '19,779.16
7,Jun '19,894.33
8,May '19,995.43
9,Apr '19,968.76
10,Mar '19,1036.05
11,Feb '19,964.92
12,Jan '19,876.87
13,Dec '18,765.42
14,Nov '18,826.05
15,Oct '18,739.64
16,Sept' 18,826.17
17,Aug '18,829.28
18,Jul '18,701.58
19,Jun '18,796.89
20,May '18,844.71
21,Apr '18,733.21
22,Mar '18,773.9
23,Feb '18,778.37
24,Jan '18,777.7
25,Dec '17,862.96
26,Nov '17,859.1
27,Oct '17,832.55
28,Sept '17,829.56
29,Aug '17,874.98
30,Jul '17,824.3
31,Jun '17,923.12
32,May '17,972.89
33,Apr '17,921.32
34,Mar '17,956.23
35,Feb '17,1040.39
36,Jan '17,1007.45
37,Dec '16,1016.44
38,Nov '16,1004.97
39,Oct '16,1135.83
40,Sept '16,1063.58
41,Aug '16,1114.22
42,Jul '16,1084.78
43,Jun '16,1096.25
44,May '16,1077.11
45,Apr '16,1128.85
46,Mar '16,1286.62
47,Feb '16,1244.18
48,Jan '16,1068.25
