,Year,Salt production in million metric tons
0,2019,293
1,2018,286
2,2017,288
3,2016,270
4,2015,271
5,2014,266
6,2013,262
7,2012,280
8,2011,286
9,2010,280
10,2009,279
11,2008,276
12,2007,266
13,2006,261
14,2005,249
15,2004,235
16,2003,225
17,2002,214
18,2001,199
19,2000,195
20,1999,210
21,1998,200
22,1997,221
23,1996,204
24,1995,199
25,1994,191
26,1993,187
27,1992,185
28,1991,202
29,1990,183
30,1989,192
31,1988,186
32,1987,179
33,1986,175
34,1985,173
35,1984,173
36,1983,159
37,1982,164
38,1981,171
39,1980,169
40,1979,173
41,1978,168
42,1977,157
43,1976,161
44,1975,162
