,Year,Gross domestic product in billion international dollars
0,2021*,1496.43
1,2020*,1427.43
2,2019,1391.27
3,2018,1295.43
4,2017,1200.81
5,2016,1132.45
6,2015,1074.15
7,2014,1018.55
8,2013,971.71
9,2012,924.43
10,2011,887.28
11,2010,854.05
12,2009,802.89
13,2008,761.24
14,2007,696.85
15,2006,633.7
16,2005,575.69
17,2004,534.4
18,2003,499.93
19,2002,475.63
20,2001,453.77
21,2000,428.91
22,1999,398.1
23,1998,369.84
24,1997,340.07
25,1996,315.63
26,1995,295.53
27,1994,277.04
28,1993,260.35
29,1992,247.15
30,1991,240.92
31,1990,228.25
32,1989,214.96
33,1988,200.84
34,1987,186.55
35,1986,174.59
36,1985,163.37
37,1984,147.41
