,Month,Units sold
0,Dec 19,8701
1,Nov 19,9392
2,Oct 19,7577
3,Sep 19,12741
4,Aug 19,9062
5,Jul 19,10322
6,Jun 19,14208
7,May 19,12591
8,Apr 19,12454
9,Mar 19,28132
10,Feb 19,5112
11,Jan 19,8632
12,Dec 18,6310
13,Nov 18,6841
14,Oct 18,6487
15,Sep 18,13797
16,Aug 18,7581
17,Jul 18,13460
18,Jun 18,14526
19,May 18,13687
20,Apr 18,13135
21,Mar 18,29968
22,Feb 18,6141
23,Jan 18,11806
24,Dec 17,10671
25,Nov 17,12077
26,Oct 17,13699
27,Sep 17,29619
28,Aug 17,6301
29,Jul 17,12896
30,Jun 17,15081
31,May 17,13764
32,Apr 17,13094
33,Mar 17,30867
34,Feb 17,5237
35,Jan 17,11676
36,Dec 16,11319
37,Nov 16,12915
38,Oct 16,14659
39,Sep 16,31113
40,Aug 16,6195
41,Jul 16,11582
42,Jun 16,14503
43,May 16,13970
44,Apr 16,13668
45,Mar 16,30483
46,Feb 16,5384
47,Jan 16,11513
48,Dec 15,9144
49,Nov 15,11083
50,Oct 15,13182
51,Sep 15,28437
52,Aug 15,5850
53,Jul 15,13004
54,Jun 15,14024
55,May 15,13802
56,Apr 15,13264
57,Mar 15,29153
58,Feb 15,4412
59,Jan 15,11354
60,Dec 14,8013
61,Nov 14,11594
62,Oct 14,12893
63,Sep 14,25535
64,Aug 14,5159
65,Jul 14,12032
66,Jun 14,13503
67,May 14,13534
68,Apr 14,12958
69,Mar 14,28841
70,Feb 14,4178
71,Jan 14,10747
