,State of Brazil,Number of deaths
0,São Paulo,46845
1,Rio de Janeiro,25616
2,Minas Gerais,12037
3,Ceará,10024
4,Pernambuco,9679
5,Bahia,9218
6,Rio Grande do Sul,8954
7,Paraná,8028
8,Pará,7217
9,Goiás,6805
10,Amazonas,5345
11,Santa Catarina,5314
12,Espírito Santo,5122
13,Maranhão,4518
14,Mato Grosso,4488
15,Distrito Federal,4269
16,Paraíba,3706
17,Rio Grande do Norte,3000
18,Piauí,2854
19,Alagoas,2509
20,Sergipe,2508
21,Mato Grosso do Sul,2372
22,Rondônia,1832
23,Tocantins,1242
24,Amapá,927
25,Acre,802
26,Roraima,787
