,Response,Percentage of respondents
0,I am less likely to give personal info on websites,44%
1,I decided to only visit websites I know and trust,42%
2,I only use my own computer,42%
3,I started opening only emails from people I know,41%
4,I started using different passwords,37%
5,I have installed antivirus software,36%
6,I have changed the security settings,32%
7,I started changing my passwords regularly,24%
8,I am less likely to bank online,20%
9,I am less likely to buy goods or services online,19%
10,None,9%
11,I cancelled an online purchase,6%
12,Don't know,4%
13,Other,1%
