,Month,Exchange rate
0,Feb '20,1.1
1,Jan '20,1.11
2,Dec '19,1.12
3,Nov '19,1.1
4,Oct '19,1.12
5,Sep '19,1.08
6,Aug '19,1.1
7,Jul '19,1.12
8,Jun '19,1.14
9,May '19,1.12
10,Apr '19,1.12
11,Mar '19,1.12
12,Feb '19,1.14
13,Jan '19,1.15
14,Dec '18,1.15
15,Nov '18,1.14
16,Oct '18,1.13
17,Sep '18,1.16
18,Aug '18,1.17
19,Jul '18,1.17
20,Jun '18,1.17
21,May '18,1.17
22,Apr '18,1.21
23,Mar '18,1.23
24,Feb '18,1.22
25,Jan '18,1.25
26,Dec '17,1.2
27,Nov '17,1.18
28,Oct '17,1.16
29,Sep '17,1.18
30,Aug '17,1.18
31,Jul '17,1.17
32,Jun '17,1.14
33,May '17,1.12
34,Apr '17,1.09
35,Mar '17,1.07
36,Feb '17,1.06
37,Jan '17,1.08
38,Dec '16,1.05
39,Nov '16,1.08
40,Oct '16,1.1
41,Sep '16,1.12
42,Aug '16,1.11
43,Jul '16,1.11
44,Jun '16,1.11
45,May '16,1.12
46,Apr '16,1.14
47,Mar '16,1.14
48,Feb '16,1.09
49,Jan '16,1.09
50,Dec '15,1.09
51,Nov '15,1.06
52,Oct '15,1.1
53,Sep '15,1.12
54,Aug '15,1.12
55,Jul '15,1.1
56,Jun '15,1.12
57,May '15,1.1
58,Apr '15,1.12
59,Mar '15,1.08
60,Feb '15,1.12
61,Jan '15,1.13
