,Month,Units sold
0,Dec 19,793
1,Nov 19,1109
2,Oct 19,776
3,Sep 19,2017
4,Aug 19,715
5,Jul 19,1005
6,Jun 19,1483
7,May 19,1722
8,Apr 19,1063
9,Mar 19,3612
10,Feb 19,691
11,Jan 19,1213
12,Dec 18,1722
13,Nov 18,1843
14,Oct 18,1933
15,Sep 18,3233
16,Aug 18,781
17,Jul 18,1513
18,Jun 18,1545
19,May 18,1400
20,Apr 18,1189
21,Mar 18,3929
22,Feb 18,513
23,Jan 18,1555
24,Dec 17,1227
25,Nov 17,1123
26,Oct 17,968
27,Sep 17,2387
28,Aug 17,436
29,Jul 17,1035
30,Jun 17,1361
31,May 17,1142
32,Apr 17,1309
33,Mar 17,3421
34,Feb 17,354
35,Jan 17,1329
36,Dec 16,1059
37,Nov 16,1289
38,Oct 16,1136
39,Sep 16,2656
40,Aug 16,367
41,Jul 16,1186
