,Franchise (country of origin),Number of units
0,Subway (US),44819
1,McDonald's (US),36500
2,KFC (US),19955
3,Pizza Hut (US),15605
4,Burger King (US),15000
5,Domino's Pizza (US),13200
6,Spar (Netherlands),12176
7,Dunkin' Donuts (US),12000
8,Baskin-Robbins (US),7722
9,Taco Bell (US),6407
10,Papa John's Pizza (US),4208
11,Dia (Spain),3697
12,Intermarché (France),2398
13,Vival (France),1800
14,Punto Simply (Italy),1755
15,Aunti Anne's (US),1700
16,Marston's Pub (UK),1698
17,Carl's Jr. Restaurants (US),1545
18,Cold Stone Creamery (US),1500
19,Groszek (Poland),1430
