,Response,Share of shipments
0,Q3 '20,22.7%
1,Q2 '20,19.5%
2,Q1 '20,21.1%
3,Q4 '19,18.8%
4,Q3 '19,21.8%
5,Q2 '19,22.7%
6,Q1 '19,23.1%
7,Q4 '18,18.8%
8,Q3 '18,20.3%
9,Q2 '18,21%
10,Q1 '18,23.5%
11,Q4 '17,18.9%
12,Q3 '17,22.1%
13,Q2 '17,22.9%
14,Q1 '17,23.3%
15,Q4 '16,18%
16,Q3 '16,20.9%
17,Q2 '16,22.4%
18,Q1 '16,23.8%
19,Q4 '15,20.4%
20,Q3 '15,23.3%
21,Q2 '15,21.7%
22,Q1 '15,24.6%
23,Q4 '14,19.9%
24,Q3 '14,23.9%
25,Q2 '14,24.8%
26,Q1 '14,30.7%
27,Q4 '13,28.83%
28,Q3 '13,32.5%
29,Q2 '13,32.3%
30,Q1 '13,31.9%
31,Q4 '12,29.1%
32,Q3 '12,31.1%
33,Q2 '12,32.2%
34,Q1 '12,28.8%
35,Q4 '11,22.5%
36,Q3 '11,22.7%
37,Q2 '11,17%
38,Q1 '11,11.3%
39,Q4 '10,9.4%
40,Q3 '10,8.8%
41,Q2 '10,5.6%
42,Q1 '10,4.3%
43,Q4 '09,3.3%
44,Q3 '09,3%
45,Q2 '09,3%
