,State,Total area in square miles
0,Alaska,664988
1,Texas,268597
2,California,163694
3,Montana,147039
4,New Mexico,121590
5,Arizona,113990
6,Nevada,110572
7,Colorado,104094
8,Oregon,98379
9,Wyoming,97812
10,Michigan,96713
11,Minnesota,86935
12,Utah,84897
13,Idaho,83568
14,Kansas,82278
15,Nebraska,77349
16,South Dakota,77116
17,Washington,71298
18,North Dakota,70698
19,Oklahoma,69899
20,Missouri,69702
21,Florida,65758
22,Wisconsin,65496
23,Georgia,59425
24,Illinois,57916
25,Iowa,56273
26,New York,54555
27,North Carolina,53819
28,Arkansas,53178
29,Alabama,52420
30,Louisiana,51988
31,Mississippi,48432
32,Pennsylvania,46055
33,Ohio,44825
34,Virginia,42775
35,Tennessee,42144
36,Kentucky,40411
37,Indiana,36417
38,Maine,35384
39,South Carolina,32021
40,West Virginia,24230
41,Maryland,12406
42,Hawaii,10926
43,Massachusetts,10554
44,Vermont,9616
45,New Hampshire,9348
46,New Jersey,8723
47,Connecticut,5544
48,Puerto Rico,5325
49,Delaware,2489
50,No. Mariana Islands,1975
51,Rhode Island,1545
52,U.S. Virgin Islands,738
53,American Samoa,583
54,Guam,571
55,District of Columbia,68
56,U.S. minor outlying islands*,16
