,Year,Number of live births
0,15 years,1
1,16 years,1
2,17 years,12
3,18 years,6
4,19 years,24
5,20 years,57
6,21 years,75
7,22 years,78
8,23 years,103
9,24 years,133
10,25 years,150
11,26 years,182
12,27 years,185
13,28 years,170
14,29 years,165
15,30 years,124
16,31 years,116
17,32 years,88
18,33 years,69
19,34 years,51
20,35 years,51
21,36 years,46
22,37 years,40
23,38 years,31
24,39 years,24
25,40 years,22
26,41 years,4
27,42 years,11
28,43 years,2
29,44 years,2
30,45 years,5
31,46 years,2
32,47 years,1
33,48 years,1
34,49 years,2
35,50 years and older,1
