,State,Percentage of adults
0,Colorado,22.6%
1,District of Columbia,23%
2,Hawaii,23.8%
3,California,25.1%
4,Utah,25.2%
5,Montana,25.3%
6,New York,25.7%
7,Massachusetts,25.8%
8,Nevada,26.7%
9,Connecticut,26.9%
10,New Jersey,27.2%
11,Vermont,27.6%
12,Washington,27.7%
13,New Hampshire,28.1%
14,Florida,28.4%
15,New Mexico,28.4%
16,Minnesota,28.4%
17,Wyoming,28.8%
18,Maine,29.1%
19,Idaho,29.3%
20,Oregon,29.4%
21,Arizona,29.5%
22,Virginia,30%
23,Rhode Island,30%
24,Illinois,31.1%
25,United States,31.3%
26,Maryland,31.3%
27,Pennsylvania,31.6%
28,Georgia,31.6%
29,Delaware,31.8%
30,South Dakota,31.9%
31,Wisconsin,32%
32,North Carolina,32.1%
33,Kansas,32.3%
34,Michigan,32.3%
35,Missouri,32.5%
36,Nebraska,32.8%
37,Tennessee,32.8%
38,Texas,33%
39,North Dakota,33.1%
40,Indiana,33.6%
41,Ohio,33.8%
42,South Carolina,34.1%
43,Alaska,34.2%
44,Kentucky,34.3%
45,Arkansas,35%
46,Louisiana,36.2%
47,Alabama,36.3%
48,Iowa,36.4%
49,Oklahoma,36.5%
50,Mississippi,37.3%
51,West Virginia,38.1%
