,Quarter,Viewers in thousands
0,Q1 2012,9909
1,Q2 2012,9918
2,Q3 2012,9330
3,Q4 2012,9709
4,Q1 2013,10211
5,Q2 2013,9401
6,Q3 2013,8690
7,Q4 2013,8895
8,Q1 2014,8981
9,Q2 2014,9242
10,Q3 2014,8703
11,Q4 2014,9080
12,Q1 2015,8896
13,Q2 2015,7938
14,Q3 2015,8427
15,Q4 2015,7591
16,Q1 2016,8321
17,Q2 2016,7128
18,Q3 2016,6820
19,Q4 2016,6329
20,Q1 2017,6254
21,Q2 2017,5221
22,Q3 2017,5508
23,Q4 2017,5317
24,Q1 2018,5531
25,Q2 2018,6862
26,Q3 2018,7673
27,Q4 2018,7446
28,Q1 2019,7141
29,Q2 2019,7053
30,Q3 2019,7526
