,Country,Budget balance in billion euros
0,Germany,58.01
1,Netherlands,11.35
2,Sweden,4.21
3,Greece,1.99
4,Czech Republic,1.85
5,Denmark,1.52
6,Luxembourg,1.42
7,Bulgaria,1.1
8,Austria,0.43
9,Slovenia,0.34
10,Lithuania,0.3
11,Malta,0.25
12,Croatia,0.1
13,Ireland,0.05
14,Estonia,-0.14
15,Latvia,-0.3
16,Slowakia,-0.63
17,Portugal,-0.91
18,Cyprus,-0.99
19,Finland,-1.55
20,Poland,-1.87
21,Hungary,-2.93
22,Belgium,-3.1
23,Romania,-6.12
24,Spain,-29.98
25,United Kingdom,-36.51
26,Italy,-37.51
27,France,-59.56
