,city,Price in GBP
0,Reykjavik (Iceland),1.78
1,Oslo (Norway),1.76
2,Stockholm (Sweden),1.24
3,Geneva (Switzerland),1.22
4,Helsinki (Finland),1.2
5,Copenhagen (Denmark),1.14
6,Liverpool (United Kingdom),1.03
7,Lausanne (Switzerland),0.98
8,Zurich (Switzerland),0.93
9,Brussels (Belgium),0.91
10,Manchester (United Kingdom),0.9
11,Leeds (United Kingdom),0.87
12,Vienna (Austria),0.84
13,London (United Kingdom),0.82
14,Edinburgh (United Kingdom),0.82
15,Strasbourg (France),0.77
16,Dublin (Ireland),0.77
17,Lisbon (Portugal),0.76
18,Sofia (Bulgaria),0.76
19,Ljubljana (Slovenia),0.75
20,Prague (Czech Republic),0.73
21,Dubrovnik (Croatia),0.72
22,Nice (France),0.7
23,Frankfurt (Germany),0.68
24,Athens (Greece),0.66
25,Venice (Italy),0.66
26,Madrid (Spain),0.66
27,Luxembourg City (Luxembourg),0.66
28,Seville (Spain),0.66
29,Malaga (Spain),0.64
30,Barcelona (Spain),0.62
31,Rome (Italy),0.61
32,Warsaw (Poland),0.6
33,Krakow (Poland),0.57
34,Milan (Italy),0.56
35,Paris (France),0.51
36,Berlin (Germany),0.51
37,Bucharest (Romania),0.49
38,Amsterdam (Netherlands),0.48
39,The Hague (Netherlands),0.46
40,Munich (Germany),0.42
41,Bratislava (Slovakia),0.35
42,Budapest (Hungary),0.28
