,Month,Index*
0,Aug 20,104.1
1,Jul 20,103.9
2,Jun 20,104.2
3,May 20,104.8
4,Apr 20,104.2
5,Mar 20,104.5
6,Feb 20,104.3
7,Jan 20,104.1
8,Dec 19,104.3
9,Nov 19,103.7
10,Oct 19,102.8
11,Sep 19,103.5
12,Aug 19,103.7
13,Jul 19,103.1
14,Jun 19,103.1
15,May 19,102.9
16,Apr 19,102.8
17,Mar 19,103.1
18,Feb 19,103.0
19,Jan 19,102.6
20,Dec 18,102.5
21,Nov 18,101.6
22,Oct 18,101.5
23,Sep 18,101.7
24,Aug 18,101.9
25,Jul 18,101.7
26,Jun 18,101.4
27,May 18,101.9
28,Apr 18,102.1
29,Mar 18,102.3
30,Feb 18,101.9
31,Jan 18,101.7
32,Dec 17,101.8
33,Nov 17,101.1
34,Oct 17,100.6
35,Sep 17,100.2
36,Aug 17,99.4
37,Jul 17,99.4
38,Jun 17,99.4
39,May 17,99.6
40,Apr 17,99.5
41,Mar 17,99.3
42,Feb 17,98.9
43,Jan 17,98.1
44,Dec 16,97.9
45,Nov 16,97.2
46,Oct 16,96.8
47,Sep 16,97.3
48,Aug 16,97.3
49,Jul 16,96.9
50,Jun 16,97.2
51,May 16,97.6
52,Apr 16,98.0
53,Mar 16,98.1
54,Feb 16,98.8
55,Jan 16,98.6
