,Year,Gross domestic product in billion international dollars
0,2021*,16.14
1,2020*,15.22
2,2019*,14.97
3,2018*,13.97
4,2017*,13.0
5,2016,12.23
6,2015,11.47
7,2014,10.73
8,2013,9.95
9,2012,9.21
10,2011,8.49
11,2010,7.81
12,2009,7.28
13,2008,6.84
14,2007,6.45
15,2006,6.36
16,2005,6.01
17,2004,6.12
18,2003,6.01
19,2002,5.53
20,2001,5.25
21,2000,5.09
22,1999,5.03
23,1998,4.83
24,1997,4.89
25,1996,4.63
26,1995,4.73
27,1994,3.87
28,1993,3.33
29,1992,3.88
30,1991,3.92
31,1990,3.82
32,1989,3.48
33,1988,3.21
34,1987,2.82
35,1986,2.82
36,1985,2.68
37,1984,2.5
