,prefecture of Japan,"Propotion of patients per 100,000 inhabitants"
0,Tokyo,20.1
1,Ishikawa,14.1
2,Fukui,13.5
3,Osaka,12.2
4,Chiba,10.1
5,Fukuoka,9.4
6,Kyoto,9.1
7,Kochi,9.0
8,Hyogo,8.8
9,Saitama,8.0
10,Kanagawa,7.7
11,Toyama,7.7
12,Hokkaido,7.0
13,Okinawa,7.0
14,Gifu,6.8
15,Gunma,5.9
16,Yamanashi,5.7
17,Yamagata,5.4
18,Aichi,5.1
19,Shiga,4.8
20,Wakayama,4.8
21,Oita,4.8
22,Ibaraki,4.6
23,Hiroshima,4.4
24,Nara,4.2
25,Miyagi,3.4
26,Ehime,3.1
27,Fukushima,2.8
28,Kagawa,2.5
29,Niigata,2.4
30,Tochigi,2.3
31,Nagano,2.3
32,Shimane,2.2
33,Yamaguchi,2.2
34,Saga,2.0
35,Kumamoto,2.0
36,Aomori,1.8
37,Mie,1.8
38,Akita,1.7
39,Miyazaki,1.6
40,Shizuoka,1.4
41,Nagasaki,1.3
42,Okayama,1.0
43,Tokushima,0.4
44,Kagoshima,0.4
45,Tottori,0.2
46,Iwate,0.0
