,Month,Numbers of companies
0,Nov '20,1984
1,Oct '20,1992
2,Sep '20,1988
3,Aug '20,1992
4,Jul '20,1991
5,Jun '20,2004
6,May '20,2005
7,Apr '20,2020
8,Mar '20,2025
9,Feb '20,2036
10,Jan '20,2024
11,Dec '19,2055
12,Nov '19,2068
13,Oct '19,2075
14,Sep '19,2085
15,Aug '19,2090
16,Jul '19,2106
17,Jun '19,2109
18,May '19,2110
19,Apr '19,2112
20,Mar '19,2111
21,Feb '19,2124
22,Jan '19,2133
23,Dec '18,2099
24,Nov '18,2151
25,Oct '18,2152
26,Sep '18,2158
27,Aug '18,2168
28,Jul '18,2170
29,Jun '18,2167
30,May '18,2163
31,Apr '18,2022
32,Mar '18,2027
33,Feb '18,2029
34,Jan '18,2034
35,Dec '17,2038
36,Nov '17,2031
37,Oct '17,2032
38,Sep '17,2032
39,Aug '17,2035
40,Jul '17,2035
41,Jun '17,2033
42,May '17,2037
43,Apr '17,2036
44,Mar '17,2033
45,Feb '17,2037
46,Jan '17,2261
47,Dec '16,2267
48,Nov '16,2282
49,Oct '16,2286
50,Sep '16,2292
51,Aug '16,2299
52,Jul '16,2304
53,Jun '16,2314
54,May '16,2314
55,Apr '16,2314
56,Mar '16,2324
57,Feb '16,2339
58,Jan '16,2348
59,Dec '15,2365
60,Nov '15,2380
61,Oct '15,2382
62,Sep '15,2400
63,Aug '15,2396
64,Jul '15,2409
65,Jun '15,2406
66,May '15,2417
67,Apr '15,2417
68,Mar '15,2426
69,Feb '15,2424
70,Jan '15,2429
