,Month,Total worldwide box office revenue,Average revenue of series,Highest grossing film in series
0,Marvel Cinematic Universe (all),22.55,0.98,2.8
1,Star Wars,9.31,0.85,2.05
2,Harry Potter,9.19,0.84,1.34
3,Avengers,7.76,1.94,2.8
4,James Bond,7.08,0.28,1.11
5,X-Men,6.05,0.5,0.8
6,Spider-Man,5.99,0.86,1.13
7,The Fast and the Furious,5.9,0.66,1.52
8,Peter Jackson's Lord of the Rings (incl. The Hobbit movies),5.88,0.84,1.14
9,DC Extended Universe (all),5.28,0.66,1.15
10,Jurassic Park,4.98,1.0,1.65
11,Transformers,4.85,0.69,1.12
12,Batman (incl. the Dark Knight Trilogy),4.57,0.51,1.08
13,Pirates of the Caribbean,4.5,0.9,1.07
14,Despicable Me,3.71,0.93,1.16
15,Mission: Impossible,3.58,0.59,0.79
16,Shrek,3.55,0.71,0.94
17,The Twilight Saga,3.32,0.55,0.83
18,Ice Age,3.18,0.64,0.88
19,Toy Story,3.04,0.61,1.07
