,United Kingdom (UK) leading banks,Number of complaints
0,Lloyds Bank Plc (headquarters: London),10813
1,Barclays Bank UK Plc (hq: London),10578
2,Santander UK Plc (hq: London),6083
3,HSBC Bank Plc (hq: London),5602
4,Nationwide Building Society (hq: Swindon),4305
5,The Royal Bank of Scotland (hq: Edinburgh),2194
6,TSB Bank Plc (hq: Edinburgh),1295
7,The Co-operative bank (hq: Manchester),752
8,Shawbrook Bank Ltd (hq: Brentwood),465
9,Virgin Money (hq: Newcastle),257
10,Metro Bank Plc (hq: London),316
