,Quarter,Number of users in millions
0,Q3 '20,2740
1,Q2 '20,2701
2,Q1 '20,2603
3,Q4 '19,2498
4,Q3 '19,2449
5,Q2 '19,2414
6,Q1 '19,2375
7,Q4 '18,2320
8,Q3 '18,2271
9,Q2 '18,2234
10,Q1 '18,2196
11,Q4 '17,2129
12,Q3 '17,2072
13,Q2 '17,2006
14,Q1 '17,1936
15,Q4 '16,1860
16,Q3 '16,1788
17,Q2 '16,1712
18,Q1 '16,1654
19,Q4 '15,1591
20,Q3 '15,1545
21,Q2 '15,1490
22,Q1 '15,1441
23,Q4 '14,1393
24,Q3 '14,1350
25,Q2 '14,1317
26,Q1 '14,1276
27,Q4 '13,1228
28,Q3 '13,1189
29,Q2 '13,1155
30,Q1 '13,1110
31,Q4 '12,1056
32,Q3 '12,1007
33,Q2 '12,955
34,Q1 '12,901
35,Q4 '11,845
36,Q3 '11,800
37,Q2 '11,739
38,Q1 '11,680
39,Q4 '10,608
40,Q3 '10,550
41,Q2 '10,482
42,Q1 '10,431
43,Q4 '09,360
44,Q3 '09,305
45,Q2 '09,242
46,Q1 '09,197
47,Q3 '08,100
