,Month,Number of completed house sales
0,Jun '20,28397
1,May '20,21877
2,Apr '20,55018
3,Mar '20,56935
4,Feb '20,57952
5,Jan '20,53373
6,Dec '19,67917
7,Nov '19,76231
8,Oct '19,75224
9,Sep '19,69983
10,Aug '19,80967
11,Jul '19,76803
12,Jun '19,72588
13,May '19,70388
14,Apr '19,63568
15,Mar '19,68845
16,Feb '19,60537
17,Jan '19,57204
18,Dec '18,74096
19,Nov '18,86667
20,Oct '18,81251
21,Sep '18,72798
22,Aug '18,89277
23,Jul '18,78137
24,Jun '18,83400
25,May '18,71389
26,Apr '18,62306
27,Mar '18,71984
28,Feb '18,61770
29,Jan '18,60308
30,Dec '17,81181
31,Nov '17,81262
32,Oct '17,81518
33,Sep '17,82506
34,Aug '17,87242
35,Jul '17,81136
36,Jun '17,89018
37,May '17,73109
38,Apr '17,65808
39,Mar '17,78295
40,Feb '17,63887
41,Jan '17,60554
42,Dec '16,84186
43,Nov '16,78181
44,Oct '16,74782
45,Sep '16,80168
46,Aug '16,83777
47,Jul '16,81976
48,Jun '16,78071
49,May '16,63304
50,Apr '16,55412
51,Mar '16,125046
52,Feb '16,68339
53,Jan '16,62780
54,Dec '15,84495
55,Nov '15,82925
56,Oct '15,92632
57,Sep '15,83993
58,Aug '15,85875
59,Jul '15,94252
60,Jun '15,85909
61,May '15,75812
62,Apr '15,65541
63,Mar '15,68555
64,Feb '15,60419
65,Jan '15,59092
