,Year,GDP per capita in U.S. dollars
0,2025*,4610.24
1,2024*,4481.83
2,2023*,4346.25
3,2022*,4195.15
4,2021*,4023.23
5,2020*,3821.29
6,2019*,4186.96
7,2018,4067.66
8,2017,3910.25
9,2016,3805.99
10,2015,3705.58
11,2014,3529.55
12,2013,3466.38
13,2012,3400.18
14,2011,3251.08
15,2010,2978.76
16,2009,2860.54
17,2008,2938.71
18,2007,2790.01
19,2006,2634.33
20,2005,2437.48
21,2004,2287.47
22,2003,2218.41
23,2002,2132.02
24,2001,2078.26
25,2000,2007.65
26,1999,1935.54
27,1998,1892.16
28,1997,1783.89
29,1996,1690.71
30,1995,1590.37
31,1994,1386.17
32,1993,1221.26
33,1992,1076.56
34,1991,985.43
35,1990,917.63
36,1989,613.81
37,1988,545.55
38,1987,473.95
39,1986,471.74
40,1985,473.31
