, Most shared Olympic Games ads,Shares in thousands
0,P&G – Thank You Mama – Best Job (London 2012),2450.71
1,Channel 4: We're The Superhumans (Rio Paralympics 2016),1465.78
2,P&G – Pick Them Back Up (Sochi 2014),699.56
3,Under Armour: Rule Yourself/Michael Phelps (Rio 2016),473.64
4,Canadian Institute For Diversity And Inclusion – Luge (Sochi 2014),324.16
5,"P&G: Thank You, Mom - Strong (Rio 2016)",200.91
6,Nike – Find Your Greatness Commercial: The Jogger (London 2012),199.73
7,adidas – Team GB Don’t Stop Me Now (London 2012),198.99
8,Under Armour: Rule Yourself/USA Womens Gymnastics (Rio 2016),193.24
9,Nike: Unlimited Youth (Rio 2016),187.38
