,Baseball Club,Beer price in U.S. dollars
0,New York Mets (20),11.0
1,Chicago Cubs (16),9.5
2,Washington Nationals (16),9.0
3,Boston Red Sox (12),8.5
4,San Francisco Giants (14),8.25
5,Chicago White Sox (16),7.0
6,Houston Astros (14),6.5
7,Cincinnati Reds (14),6.5
8,Los Angeles Dodgers (16),6.25
9,Philadelphia Phillies (12),6.0
10,San Diego Padres (12),6.0
11,Oakland Athletics (12),6.0
12,New York Yankees (12),6.0
13,Pittsburgh Pirates (16),6.0
14,Texas Rangers (16),6.0
15,MLB league average (14),5.97
16,Toronto Blue Jays (16),5.63
17,Seattle Mariners (12),5.0
18,Miami Marlins (12),5.0
19,Los Angeles Angels (12),5.0
20,St. Louis Cardinals (12),5.0
21,Detroit Tigers (12),5.0
22,Tampa Bay Rays (12),5.0
23,Cleveland Indians (12),5.0
24,Minnesota Twins (12),5.0
25,Atlanta Braves (12),5.0
26,Milwaukee Brewers (12),5.0
27,Kansas City Royals (12),4.0
28,Arizona Diamondbacks (14),4.0
29,Baltimore Orioles (12),4.0
30,Colorado Rockies (12),3.0
