,Year,Inflation rate
0,2025*,25%
1,2024*,25%
2,2023*,25%
3,2022*,25%
4,2021*,30%
5,2020*,30.52%
6,2019,41.02%
7,2018,31.18%
8,2017,9.64%
9,2016,9.05%
10,2015,11.92%
11,2014,15.56%
12,2013,34.7%
13,2012,30.57%
14,2011,21.53%
15,2010,12.3%
16,2009,10.82%
17,2008,25.3%
18,2007,18.41%
19,2006,12%
20,2005,10.25%
21,2004,15.32%
22,2003,15.57%
23,2002,15.83%
24,2001,11.54%
25,2000,12.29%
26,1999,20.24%
27,1998,18.45%
28,1997,16.54%
29,1996,23.92%
30,1995,49.32%
31,1994,34.86%
32,1993,22.47%
33,1992,24.48%
34,1991,20.17%
35,1990,9%
36,1989,17.4%
37,1988,28.9%
38,1987,27.71%
39,1986,23.72%
40,1985,4.38%
